date	Marine Le Pen	François Fillon	Abstention, blanc ou nul
04/09/2014	43.0	57.0	0.0
14/04/2016	37.0	63.0	0.0
17/04/2016	24.12	42.88	33.0
16/05/2016	24.5	45.5	30.0
12/06/2016	23.8	44.2	32.0
17/06/2016	40.0	60.0	0.0
11/09/2016	24.96	39.04	36.0
25/11/2016	29.0	71.0	0.0
27/11/2016	33.0	67.0	0.0
28/11/2016	34.0	66.0	0.0
29/11/2016	34.0	66.0	0.0
03/12/2016	35.0	65.0	0.0
04/12/2016	22.11	44.89	33.0
06/01/2017	36.0	64.0	0.0
08/01/2017	26.64	45.36	28.0
20/01/2017	26.98	44.02	29.0
27/01/2017	40.0	60.0	0.0
31/01/2017	41.0	59.0	0.0
01/02/2017	40.0	60.0	0.0
02/02/2017	26.4	39.6	34.0
05/02/2017	39.0	61.0	0.0
07/02/2017	38.0	62.0	0.0
08/02/2017	44.0	56.0	0.0
